,x,y,latitude,longitude,altitude,stopped,time,speed_prev,dir_prev,speed_next,dir_next
1486,324040.94310466445,5090674.949059947,45.94709,12.72972,,0.0,2016-08-06 18:24:15,7.155486928993273,0.09519779451500651,6.759032035619483,0.10978968049899955
1487,326063.16254633886,5090897.864263401,45.94961,12.75571,,0.0,2016-08-06 18:29:16,6.759032035619483,0.10978968049899955,6.09972960011388,0.11015354667057606
1488,327875.92794864887,5091098.358377225,45.95187,12.77901,,0.0,2016-08-06 18:34:15,6.09972960011388,0.11015354667057606,6.346711140672154,0.10650246671122818
1489,329775.4638466027,5091301.432023449,45.95417,12.80343,,0.0,2016-08-06 18:39:16,6.346711140672154,0.10650246671122818,5.9936359978053915,0.14960650675646717
1490,331541.6162479736,5091567.649050571,45.957,12.82611,,0.0,2016-08-06 18:44:14,5.9936359978053915,0.14960650675646717,5.263224586896595,-0.12309459803534183
1491,333119.0830433379,5091372.484683926,45.95563,12.84652,,0.0,2016-08-06 18:49:16,5.263224586896595,-0.12309459803534183,5.926105503154845,0.2500711309202071
1492,334824.38960408897,5091808.050148492,45.95996,12.86836,,0.0,2016-08-06 18:54:13,5.926105503154845,0.2500711309202071,5.801159968881865,0.23388688091643828
1493,336528.63942476106,5092214.082708219,45.96402,12.8902,,0.0,2016-08-06 18:59:15,5.801159968881865,0.23388688091643828,5.453901371304227,0.004226879150246036
1494,338164.79521984875,5092220.998582223,45.96447,12.9113,,1.0,2016-08-06 19:04:15,5.453901371304227,0.004226879150246036,0.011779493286537775,0.32705707084691704
1495,338219.5555296863,5092239.575467873,45.96465,12.912,,1.0,2016-08-06 20:26:04,0.011779493286537775,0.32705707084691704,6.575273459013148,0.23174007830421242
1496,339729.83864153223,5092595.971453086,45.96821,12.93136,,0.0,2016-08-06 20:30:00,6.575273459013148,0.23174007830421242,7.1063094401301425,-0.23799757231435473
1497,341801.6376985888,5092093.362545008,45.96417,12.95825,,0.0,2016-08-06 20:35:00,7.1063094401301425,-0.23799757231435473,5.173672597126351,-0.22964002381942739
